route_id,route_short_name,agency_id,route_type,route_long_name
1,1,TGSRTC,3,102-SECUNDRABAD-WOMENS COLLEGE-MDN
10,10,TGSRTC,3,10-ERRAGADARAITHUBAZAR-TO-SECUNDERABAD-HPT
100/299,100/299,TGSRTC,3,100/299-LBNAGAR-SECRETARIAT-HYT1
100B,100B,TGSRTC,3,100B-BANDLAGUDA DEPOT-SECRETERIAT-BDG
100D,100D,TGSRTC,3,100D-NGOS COLONY-TO-DILSUKHNAGAR-HYT2
100G,100G,TGSRTC,3,100G-SECRETARIAT-TO-BANDLAGUDA DEPOT-BDG
100G/L,100G/L,TGSRTC,3,100G/L-LB NAGAR-TO-SOUTH END PARK-BDG
100G/S,100G/S,TGSRTC,3,101G-D-GAYANGNR-TO-SECSET_DSNR
100H,100H,TGSRTC,3,100H-HAYATHNAGAR-TO-NGOS COLONY-HYT2
100L,100L,TGSRTC,3,100L-HYT2 DEPOT-HAYATHNAGAR-TO-LB NAGAR X ROAD-HYT2
100M,100M,TGSRTC,3,100M-SATYANAGAR-TO-SECRETARIAT-BDG
100M/K,100M/K,TGSRTC,3,100M/K-SATYANAGAR-TO-WOMENS COLLEGE-BDG
100SS,100SS,TGSRTC,3,100SS-SAHEB NAGA-RAITHU BAZAR-TO-SECRETARIAT-HYT2
100V,100V,TGSRTC,3,100V-NGOSCOLONY-SACHIVALAYA NAGAR-TO-SECRETARIAT-HYT2
100V/208,100V/208,TGSRTC,3,100V/208-HYT-HIGHCOURT (VIA NGOS)-HYT1
100X,100X,TGSRTC,3,101K/D-BADANGPET-DILSUKHNAGAR-Via-Saroornagar
102,102,TGSRTC,3,102-MIDHANI DEPOT-WOMENS COLLEGE-MDN
102/253C,102/253C,TGSRTC,3,254K-KONGARA  COLLECTORATE RR-WOMENS COLLEGE-MDN
102/277,102/277,TGSRTC,3,102/277-SEC-BAD-TO-HIGH CORT-IBP
102B,102B,TGSRTC,3,102-MIDHANI DEPOT-BADANGPET-MDN
102C,102C,TGSRTC,3,102C-WOMENS COLLEGE-BALAPUR VILLAGE-MDN
102J,102J,TGSRTC,3,102J-MIDHANI DEPOT-JANAPRIYA LENIN NAGAR-MDN
102K,102K,TGSRTC,3,102K-WOMENS COLLEGE-CHANDRAYANA GUTTA-MDN
102M,102M,TGSRTC,3,102-MIDHANI DEPOT-WOMENS COLLEGE-MDN
103,103,TGSRTC,3,103-WOMENS COLLEGE-TO-SULTHANPUR-MDN
103L,103L,TGSRTC,3,103L-RCI-UPPAL X ROAD
104A,104A,TGSRTC,3,104A-SECUNDERABAD-RG KALPA-MDN
104A/218,104A/218,TGSRTC,3,104A/218 -ALMASGUDA-SECRETARIAT-PATANCHERUVU-MDN
104R,104R,TGSRTC,3,102-MIDHANI DEPOT-WOMENS COLLEGE-MDN
104R/102,104R/102,TGSRTC,3,104R-NANDI HILLS-SECUNDRABAD-MDN
104R/127K,104R/127K,TGSRTC,3,104R/127K-RN REDDY-TO-LINGAMPALLY-MDN
104R/218,104R/218,TGSRTC,3,104R/218-RN REDDY-PATANCHERU-MDN
105/218,105/218,TGSRTC,3,105/218-SAIDABAD COLONY-SECRETARIATE-PATANCHERUVU-MDN
107,107,TGSRTC,3,107-D-SRNR-TO-DSNR
107JL,107JL,TGSRTC,3,107JL-JBS-SECUNDERABAD-TO-L B NAGAR-CNT
107JS,107JS,TGSRTC,3,107JS-JBS-SECUNDERABAD-TO-SAROORNAGAR-CNT
107M,107M,TGSRTC,3,107M-SECUNDERABAD-TO-SAHARA ESTATES-DSNR.
107R,107R,TGSRTC,3,107R-SECUNDERABAD-TO-RAMANTAPUR-DSNR..
107R/300A,107R/300A,TGSRTC,3,107R/300A-RAMANTAPUR-TO-PJTSAU-DSNR.
107VL,107VL,TGSRTC,3,156/316_GACHIBOWLI_LBNAGAR
107VR,107VR,TGSRTC,3,107-D-SRNR-TO-DSNR
107V/S,107V/S,TGSRTC,3,107-D-LBNR-TO-DSNR
107VS,107VS,TGSRTC,3,107-D-SRNR-TO-DSNR
10A/S,10A/S,TGSRTC,3,KP-10A/S-SECUNDERABAD-TO-ALLWYN COLONY
10F/V,10F/V,TGSRTC,3,KP-BORABANDA-TO-SECUNDERABAD
10H,10H,TGSRTC,3,10H-SILVER-SECUNDERABAD-KONDAPUR
10H/220K,10H/220K,TGSRTC,3,10H/220K SECUNDRABAD TO KOLLUR
10HW,10HW,TGSRTC,3,WAVEROCK-SECUNDERABAD-RNG
10JB,10JB,TGSRTC,3,10JB _JANMABHOOMI COLONY_TO_SEC BAD
10J/P,10J/P,TGSRTC,3,10J/P-JNTU-TO-PRAGATHINAGAR KAMAN-KP
10JP,10JP,TGSRTC,3,KP-10J/P-JNTU-TO-KPHB TEMPLE
10K,10K,TGSRTC,3,KP-MIYAPUR X ROAD-TO-KUKATPALLY DEPOT
10KB,10KB,TGSRTC,3,10K/J-SILVER-JAGATHGIRIGUTTA-TO-SECUNDERABAD
10K/J,10K/J,TGSRTC,3,10K/J-JAGATHGIRI GUTTA-TO-KUKATPALLY DEPOT-KP
10KJ,10KJ,TGSRTC,3,10S/K  SRINIVAS NAGAR_TO_SEC BAD
10KM,10KM,TGSRTC,3,MYP2-MIYAPUR 2 DEPO-TO-MIYAPUR METRO
10KM/224G,10KM/224G,TGSRTC,3,10KM/224G-SECUNDRABAD-TO-GANDIMAISAMMA-MYP2
10K/S,10K/S,TGSRTC,3,10K/S SEC BAD_TO_SRINIVAS NAGAR
10S/K,10S/K,TGSRTC,3,10S/K  SRINIVAS NAGAR_TO_SEC BAD
10W,10W,TGSRTC,3,10W-SECUNDERABAD-TO-WAVEROCK-HPT
10Y/F,10Y/F,TGSRTC,3,KP-BORABANDA-TO-SECUNDERABAD
10YF,10YF,TGSRTC,3,10Y/F-KP-BORABANDA -SECUNDERABAD
113F,113F,TGSRTC,3,113F-BORABANDA-TO-CHLAENGICHAR-CHARLAPALLY
113F/KP,113F/KP,TGSRTC,3,113F/KP-SECRETARIAT-TO-KPHB IV PHASE-CGCL
113I/A,113I/A,TGSRTC,3,113I/A-UPPAL BUS STAND-TO-AG COLONY-UPL
113I/M,113I/M,TGSRTC,3,113I/M-MEHDIPATNAM-TO-UPPAL DEPOT-UPL
113K,113K,TGSRTC,3,113K-KPHB IV PHASE-TO-UPPAL-MYP2 DEPOT
113K/L,113K/L,TGSRTC,3,113K-KPHB IV PHASE-TO-UPPAL-MYP2 DEPOT
